"protein_name","sample_ID","psm","study","material","material2","x_label"
"Vitronectin","NP6083",17,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Myeloperoxidase","NP6084",17,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Fibromodulin","NP6089",17,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin heavy constant gamma 3","NP6089",16,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin kappa constant","NP6089",16,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Osteomodulin","NP6089",16,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Chondroadherin","NP6082",15,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"SPARC","NP6083",15,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Vitronectin","NP6088",15,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-2(V) chain","NP6089",15,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin heavy constant alpha 1","NP6089",15,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Serotransferrin","NP6089",15,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Vitronectin","NP6090",15,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Chondroadherin","NP6084",14,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Lactotransferrin","NP6084",14,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"SPARC","NP6088",14,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Hemopexin","NP6089",14,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Vitronectin","NP6089",14,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Decorin","NP6082",13,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Prothrombin","NP6084",13,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Vitronectin","NP6085",13,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Collagen alpha-2(V) chain","NP6086",13,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Decorin","NP6088",13,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Prothrombin","NP6082",12,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Decorin","NP6083",12,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Complement C3","NP6089",12,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Ferritin light chain","NP6089",12,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Histone H4","NP6089",12,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Albumin","NP6084",11,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Apolipoprotein A-I","NP6089",11,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin heavy constant gamma 1","NP6089",11,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Pigment epithelium-derived factor","NP6082",10,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Prothrombin","NP6086",10,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Hemoglobin subunit alpha","NP6089",10,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Kininogen-1","NP6089",10,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Peroxiredoxin-2","NP6089",10,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Tenascin","NP6089",10,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Transthyretin","NP6089",10,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Vitronectin","NP6082",9,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Protein S100-A8","NP6084",9,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Collagen alpha-2(V) chain","NP6085",9,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Histone H4","NP6085",9,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Kininogen-1","NP6085",9,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Kininogen-1","NP6088",9,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-1(VI) chain","NP6089",9,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Leucine-rich alpha-2-glycoprotein","NP6089",9,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Pigment epithelium-derived factor","NP6089",9,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Histone H4","NP6090",9,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Collagen alpha-2(V) chain","NP6082",8,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Vitronectin","NP6084",8,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Decorin","NP6086",8,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Collagen alpha-2(V) chain","NP6088",8,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Alpha-1-antichymotrypsin","NP6089",8,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Histone H2A type 1","NP6089",8,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Inter-alpha-trypsin inhibitor heavy chain H4","NP6089",8,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Thrombospondin-1","NP6089",8,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-2(V) chain","NP6090",8,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Thrombospondin-1","NP6083",7,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Protein S100-A9","NP6084",7,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Histone H2B type 2-F","NP6085",7,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Coagulation factor X","NP6088",7,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Alpha-1B-glycoprotein","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Complement C4-A","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Fibrinogen beta chain","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Inter-alpha-trypsin inhibitor heavy chain H1","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Mimecan","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Osteopontin","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Secretogranin-1","NP6089",7,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"SPARC","NP6082",6,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Coagulation factor X","NP6083",6,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Collagen alpha-1(V) chain","NP6084",6,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Kininogen-1","NP6084",6,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Prolargin","NP6084",6,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Tetranectin","NP6085",6,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Thrombospondin-1","NP6088",6,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Aggrecan core protein","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Alpha-1-acid glycoprotein 1","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Coagulation factor IX","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-1(III) chain","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-1(V) chain","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Histone H2B type 2-F","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin lambda constant 2","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Insulin-like growth factor-binding protein 1","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Keratin, type II cytoskeletal 1","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Prelamin-A/C","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"SPARC","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Tetranectin","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Versican core protein","NP6089",6,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Kininogen-1","NP6083",5,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Transthyretin","NP6083",5,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Collagen alpha-1(III) chain","NP6084",5,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Ferritin light chain","NP6084",5,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"SPARC","NP6084",5,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Tetranectin","NP6084",5,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Hemoglobin subunit alpha-2","NP6085",5,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Histone H2A type 1","NP6085",5,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Integrin-binding sialoprotein","NP6085",5,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Pigment epithelium-derived factor","NP6086",5,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Protein S100-A9","NP6086",5,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Vitronectin","NP6086",5,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Coagulation factor IX","NP6088",5,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Alpha-2-macroglobulin","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Asporin","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Clusterin","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Coagulation factor X","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-1(II) chain","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Inter-alpha-trypsin inhibitor heavy chain H2","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Vitamin K-dependent protein C","NP6089",5,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Haptoglobin","NP6090",5,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Integrin-binding sialoprotein","NP6090",5,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Kininogen-1","NP6090",5,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Procollagen C-endopeptidase enhancer 1","NP6090",5,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Thrombospondin-1","NP6090",5,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Aggrecan core protein","NP6084",4,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Decorin","NP6084",4,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Neutrophil defensin 1","NP6084",4,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Secreted phosphoprotein 24","NP6084",4,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Serotransferrin","NP6084",4,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"C-type lectin domain family 11 member A","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Coagulation factor X","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Collagen alpha-1(V) chain","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Dermatopontin","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Fibromodulin","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Procollagen C-endopeptidase enhancer 1","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Thrombospondin-1","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Vimentin","NP6085",4,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Chondroadherin","NP6086",4,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"SPARC","NP6086",4,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Procollagen C-endopeptidase enhancer 1","NP6088",4,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Tetranectin","NP6088",4,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Vitamin K-dependent protein C","NP6088",4,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-1(XII) chain","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Fatty acid-binding protein, adipocyte","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Ferritin heavy chain","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin heavy constant gamma 2","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Keratin, type II cytoskeletal 8","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Nucleophosmin","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Serum amyloid P-component","NP6089",4,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Beta-2-microglobulin","NP6090",4,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Coagulation factor IX","NP6090",4,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Coagulation factor X","NP6090",4,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Dermatopontin","NP6090",4,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","NP6090",4,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Transthyretin","NP6090",4,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Chromogranin-A","NP6082",3,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Osteomodulin","NP6082",3,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"C-type lectin domain family 11 member A","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Coagulation factor IX","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Collagen alpha-2(V) chain","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Insulin-like growth factor-binding protein 5","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Osteocalcin","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Procollagen C-endopeptidase enhancer 1","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Tetranectin","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Vimentin","NP6083",3,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Azurocidin","NP6084",3,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Immunoglobulin gamma-1 heavy chain","NP6084",3,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Immunoglobulin kappa light chain","NP6084",3,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Osteomodulin","NP6084",3,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Osteopontin","NP6084",3,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Transthyretin","NP6084",3,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Collagen alpha-1(XII) chain","NP6085",3,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","NP6085",3,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Transthyretin","NP6085",3,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Albumin","NP6086",3,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Dermatopontin","NP6088",3,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Integrin-binding sialoprotein","NP6088",3,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Osteocalcin","NP6088",3,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Protein Z-dependent protease inhibitor","NP6088",3,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Transthyretin","NP6088",3,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Antithrombin-III","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Beta-2-microglobulin","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Ceruloplasmin","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Complement C1q subcomponent subunit A","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Complement C1q subcomponent subunit B","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Dermatopontin","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Fibronectin","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Pentraxin-related protein PTX3","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Vitamin D-binding protein","NP6089",3,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"C-type lectin domain family 11 member A","NP6090",3,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Immunoglobulin kappa light chain","NP6090",3,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Osteocalcin","NP6090",3,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Tetranectin","NP6090",3,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Versican core protein","NP6090",3,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Vimentin","NP6090",3,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Albumin","NP6082",2,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Coagulation factor IX","NP6082",2,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Coagulation factor X","NP6082",2,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Thrombospondin-1","NP6082",2,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Transthyretin","NP6082",2,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Dermatopontin","NP6083",2,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Integrin-binding sialoprotein","NP6083",2,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Alpha-1-antitrypsin","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Coagulation factor IX","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Complement C1q subcomponent subunit A","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Neutrophil elastase","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Nucleophosmin","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Osteocalcin","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Versican core protein (Fragments)","NP6084",2,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Alkaline phosphatase, tissue-nonspecific isozyme","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Collagen alpha-2(XI) chain","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Kazal-type serine protease inhibitor domain-containing protein 1","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Mimecan","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Nucleobindin-2","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Osteocalcin","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Osteopontin","NP6085",2,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Azurocidin","NP6086",2,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Coagulation factor X","NP6086",2,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Dermatopontin","NP6086",2,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Protein S100-A8","NP6086",2,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Transthyretin","NP6086",2,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"C-type lectin domain family 11 member A","NP6088",2,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-1(V) chain","NP6088",2,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-1(XII) chain","NP6088",2,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Insulin-like growth factor-binding protein 5","NP6088",2,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Alkaline phosphatase, tissue-nonspecific isozyme","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"All-trans-retinol dehydrogenase [NAD(+)] ADH1B","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Carbonic anhydrase 1","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-2(VI) chain","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Complement C1q subcomponent subunit C","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Gelsolin","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Hemoglobin subunit delta","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Immunoglobulin kappa variable 3-20","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Integrin-binding sialoprotein","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Keratin, type I cytoskeletal 18","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Large ribosomal subunit protein P2","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Osteocalcin","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Transforming growth factor-beta-induced protein ig-h3","NP6089",2,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Alpha-1-antitrypsin","NP6090",2,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Collagen alpha-2(XI) chain","NP6090",2,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Fibromodulin","NP6090",2,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Histone H2A type 1","NP6090",2,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Osteopontin","NP6090",2,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Collagen alpha-1(I) chain","293",358,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-1(I) chain","296",306,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-1(I) chain","319",278,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-2(I) chain","293",233,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-2(I) chain","319",207,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-2(I) chain","296",199,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-1(I) chain","302",162,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-1(I) chain","318",158,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Chondroadherin","319",126,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-2(I) chain","302",119,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-2(I) chain","318",106,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Prothrombin","319",106,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Chondroadherin","293",88,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Chondroadherin","318",87,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Chondroadherin","296",82,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Biglycan","319",76,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Chondroadherin","302",75,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-2(I) chain","294",68,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Pigment epithelium-derived factor","319",68,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-1(I) chain","294",66,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Biglycan","318",61,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Biglycan","293",58,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Prothrombin","293",58,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-2(I) chain","301",53,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Vitronectin","319",49,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Biglycan","296",49,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Pigment epithelium-derived factor","293",49,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Pigment epithelium-derived factor","318",48,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Albumin","293",48,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Pigment epithelium-derived factor","302",47,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-1(I) chain","301",46,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Vitronectin","293",43,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Chondroadherin","294",39,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Alpha-2-HS-glycoprotein","319",39,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Lumican","319",35,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Prothrombin","302",35,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Pigment epithelium-derived factor","296",33,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Prothrombin","296",33,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Alpha-2-HS-glycoprotein","293",33,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Vitronectin","296",31,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Albumin","319",30,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Chondroadherin","301",29,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Alpha-2-HS-glycoprotein","302",29,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Pigment epithelium-derived factor","301",28,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Prothrombin","318",25,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Vitronectin","302",24,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Biglycan","294",23,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Pigment epithelium-derived factor","294",22,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Periostin","293",22,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Vitronectin","318",21,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Coagulation factor IX","319",21,"Sawafuji","bone","Bone
 ","319

Bone
 "
